"","lon","lat"
"11324",-76.05383,37.22875
"131384",-76.35967,38.99596
"420936",-75.99937,37.06237
"67816",-76.03494,36.94737
"37478",-76.16772,36.99542
"49468",-76.02048,36.9957
"412908",-76.02466,37.41153
"396756",-76.37144,38.81809
"399976",-76.2515,38.88
"20770",-76.2643,38.6549
"119096",-76.2151,38.99233
"7225",-76.43094,37.23392
"62108",-76.16216,37.58847
"67843",-75.97321,38.19685
"106480",-75.97466,37.77513
"124279",-76.18967,37.6918
"415162",-76.71195,37.81158
"80313",-76.38634,37.24181
"87680",-76.38634,37.24181
"93613",-76.30631,39.16369
"15565",-75.92423,37.98139
"68404",-76.20799,37.23653
"99804",-76.2643,38.6549
"48797",-75.99937,37.06237
"106488",-75.79132,37.90846
"7254",-77.2654,38.5301
"44105",-76.2643,38.6549
"99881",-76.16216,37.58847
"72563",-76.03494,36.94737
"56343",-76.29215,38.3187
"396777",-76.30631,39.16369
"34196",-76.07966,37.41153
"389689",-76.15966,37.41153
"37864",-76.17466,37.80013
"397178",-76.29215,38.3187
"112037",-76.29215,38.3187
"118611",-76.30661,37.53069
"394005",-76.02048,36.9957
"45730",-75.79132,37.90846
"11092",-76.20799,37.23653
"131135",-76.15633,37.4868
"56922",-75.99937,37.06237
"118601",-76.29215,38.3187
"393767",-76.15966,37.41153
"66009",-75.99937,37.06237
"62116",-76.38634,37.24181
"397219",-76.40131,38.64498
"414540",-76.42127,38.64618
"87048",-76.37574,38.32522
"66979",-76.30631,39.16369
"27794",-75.97466,37.77513
"37837",-76.02466,37.41153
"62110",-76.15633,37.4868
"48688",-75.99937,37.06237
"422367",-77.2654,38.5301
"74611",-76.03494,36.94737
"35246",-76.17137,37.91011
"23680",-76.22787,38.13705
"48752",-76.43094,37.23392
"81404",-76.30631,39.16369
"34235",-76.49402,38.55728
"56025",-76.02599,39.44149
"23357",-76.05799,37.58124
"81220",-75.97466,37.77513
"34203",-76.05799,37.58124
"412897",-76.15966,37.41153
"19926",-76.34634,37.31181
"394017",-76.28467,37.5968
"396683",-76.30631,39.16369
"61734",-76.30661,37.53069
"40803",-75.84438,37.79652
"62491",-75.98966,37.68346
"56081",-76.07966,37.41153
"62362",-76.37574,38.32522
"33575",-75.84438,37.79652
"106746",-76.02048,36.9957
"66478",-76.18967,37.6918
"393856",-76.16216,37.58847
"100283",-76.03494,36.94737
"24671",-76.34565,38.41457
"16648",-76.01033,38.28093
"61836",-76.3477,38.0215
"393860",-76.15966,37.41153
"34185",-76.598,38.1576
"15994",-75.80148,37.91455
"397129",-76.17579,39.34873
"393051",-75.99937,37.06237
"420776",-75.99937,37.06237
"54384",-76.16216,37.58847
"25514",-76.34565,38.41457
"131146",-76.05383,37.22875
"44880",-76.07966,37.41153
"394794",-76.59306,37.056
"69165",-76.3477,38.0215
"389737",-75.97466,37.77513
"66777",-76.598,38.1576
"390917",-76.28467,37.5968
"51199",-76.17466,37.80013
"384122",-75.79132,37.90846
"56802",-76.17466,37.80013
"23855",-75.84438,37.79652
"75732",-76.12521,37.11681
"126018",-76.29215,38.3187
"397135",-76.42794,38.55505
"54085",-76.16216,37.58847
"30596",-76.47544,36.99044
"34215",-76.18967,37.6918
"99695",-76.37574,38.32522
"49745",-75.98966,37.68346
"51248",-76.28467,37.5968
"126049",-76.50217,38.64354
"23727",-76.50217,38.64354
"88258",-76.39945,38.82593
"74201",-76.16216,37.58847
"130394",-76.598,38.1576
"106501",-76.35967,38.99596
"117762",-76.15966,37.41153
"56842",-76.71195,37.81158
"74656",-76.05383,37.22875
"74627",-76.07966,37.41153
"106749",-75.99937,37.06237
"390900",-75.99937,37.06237
"20571",-76.2643,38.6549
"393959",-75.97466,37.77513
"390884",-76.05799,37.58124
"75272",-76.22787,38.13705
"24524",-76.05383,37.22875
"63170",-76.37574,38.32522
"40742",-76.39945,38.82593
"396861",-76.30631,39.16369
"99265",-76.15633,37.4868
"75750",-76.34634,37.31181
"56962",-76.35967,38.99596
"38459",-76.02048,36.9957
"75172",-76.37574,38.32522
"398467",-76.01033,38.28093
"75724",-75.99937,37.06237
"35249",-76.17466,37.80013
"80284",-76.44486,37.63189
"49757",-76.18967,37.6918
"34181",-76.05383,37.22875
"93849",-76.20799,37.23653
"34546",-76.05383,37.22875
"119581",-76.38634,37.24181
"100315",-76.15966,37.41153
"34557",-76.42127,38.64618
"65998",-76.16772,36.99542
"384098",-76.20799,37.23653
"396762",-76.39121,38.55624
"48863",-75.97466,37.77513
"67341",-76.373,37.17681
"69085",-76.30631,39.16369
"54071",-76.18967,37.6918
"394192",-76.28467,37.5968
"49754",-75.97466,37.77513
"391298",-76.07966,37.41153
"62275",-76.28467,37.5968
"420775",-75.99937,37.06237
"106473",-76.49402,38.55728
"86921",-76.59306,37.056
"420809",-76.16216,37.58847
"391284",-76.15966,37.41153
"72442",-76.12521,37.11681
"106833",-76.07966,37.41153
"44117",-76.12521,37.11681
"62286",-76.17579,39.34873
"24415",-76.598,38.1576
"112326",-76.40131,38.64498
"88327",-76.20799,37.23653
"118256",-76.3477,38.0215
"393080",-76.39121,38.55624
"389710",-76.28467,37.5968
"87414",-76.38634,37.24181
"107138",-76.598,38.1576
"16269",-76.35967,38.99596
"394059",-76.05799,37.58124
"44108",-75.98966,37.68346
"55447",-76.22787,38.13705
"34213",-75.97466,37.77513
"412901",-75.98966,37.68346
"56073",-76.05383,37.22875
"393948",-76.373,37.17681
"23461",-76.02599,39.44149
"113144",-76.59306,37.056
"69164",-75.80148,37.91455
"111802",-76.30661,37.53069
"44092",-75.79132,37.90846
"49167",-76.34634,37.31181
"74192",-76.02466,37.41153
"420779",-76.03494,36.94737
"74258",-75.79132,37.90846
"99341",-76.02048,36.9957
"98909",-75.84438,37.79652
"30691",-76.05383,37.22875
"118603",-76.07966,37.41153
"57281",-76.15633,37.4868
"45767",-76.59306,37.056
"61732",-76.16216,37.58847
"106500",-76.05799,37.58124
"48852",-75.84438,37.79652
"106466",-76.42794,38.55505
"397125",-76.29215,38.3187
"398357",-76.30408,38.52609
"99870",-75.79132,37.90846
"55870",-76.42794,38.55505
"106841",-76.28467,37.5968
"2829",-76.29215,38.3187
"72170",-76.05799,37.58124
"390859",-76.17466,37.80013
"106441",-76.05383,37.22875
"67336",-76.64833,37.20297
"65834",-76.12521,37.11681
"74045",-76.3881,39.00462
"106484",-76.40131,38.64498
"99878",-76.17466,37.80013
"23690",-76.29215,38.3187
"118606",-76.15966,37.41153
"54386",-76.28467,37.5968
"86775",-76.16772,36.99542
"3184",-76.15966,37.41153
"393858",-76.15633,37.4868
"81405",-76.35967,38.99596
"35261",-76.598,38.1576
"394414",-76.59306,37.056
"62837",-76.71195,37.81158
"75755",-76.373,37.17681
"81051",-76.17137,37.91011
"119065",-76.22787,38.13705
"19901",-76.02048,36.9957
"398791",-76.01033,38.28093
"39282",-76.2643,38.6549
"99177",-76.39275,36.95486
"111784",-75.98966,37.68346
"37888",-76.40131,38.64498
"56884",-76.03494,36.94737
"384155",-76.05383,37.22875
"55705",-76.02048,36.9957
"87946",-76.02048,36.9957
"131130",-76.16216,37.58847
"44876",-76.02466,37.41153
"87983",-76.05799,37.58124
"62113",-76.07966,37.41153
"81279",-76.2643,38.6549
"396972",-76.3477,38.0215
"39957",-76.38634,37.24181
"7138",-76.42127,38.64618
"61707",-76.02048,36.9957
"113188",-76.34634,37.31181
"54099",-76.49402,38.55728
"86918",-76.47544,36.99044
"394529",-76.61592,37.75925
"69497",-76.17137,37.91011
"40769",-76.17579,39.34873
"75822",-76.15966,37.41153
"420309",-75.97321,38.19685
"38870",-76.71195,37.81158
"48848",-75.98966,37.68346
"397167",-76.50217,38.64354
"391277",-76.16216,37.58847
"50174",-76.20799,37.23653
"112002",-76.598,38.1576
"106492",-76.39945,38.82593
"35234",-76.16216,37.58847
"391317",-75.99937,37.06237
"396712",-76.42127,38.64618
"71942",-76.17137,37.91011
"74622",-76.17137,37.91011
"419923",-76.34565,38.41457
"19480",-76.02048,36.9957
"67954",-76.17579,39.34873
"397750",-76.598,38.1576
"3227",-76.42127,38.64618
"37843",-76.07966,37.41153
"34522",-76.39121,38.55624
"16545",-76.2515,38.88
"100840",-76.3477,38.0215
"49727",-76.39945,38.82593
"74959",-76.39121,38.55624
"43607",-75.97321,38.19685
"99183",-76.59306,37.056
"87411",-76.34634,37.31181
"390865",-76.18967,37.6918
"61733",-76.28467,37.5968
"119045",-76.02048,36.9957
"45726",-75.97466,37.77513
"48865",-76.29467,37.81347
"51257",-76.34565,38.41457
"38351",-76.12521,37.11681
"393091",-76.17579,39.34873
"51470",-76.22787,38.13705
"119092",-76.17466,37.80013
"44888",-76.28467,37.5968
"105753",-75.84438,37.79652
"12502",-76.30631,39.16369
"75260",-75.97321,38.19685
"29996",-76.44486,37.63189
"397097",-76.17137,37.91011
"119051",-75.99937,37.06237
"44099",-75.84438,37.79652
"391293",-75.97466,37.77513
"61730",-76.15966,37.41153
"131122",-75.97466,37.77513
"92958",-76.03494,36.94737
"397037",-76.40131,38.64498
"393975",-76.373,37.17681
"19496",-76.05383,37.22875
"61698",-76.18967,37.6918
"394092",-76.28467,37.5968
"16640",-75.97321,38.19685
"68490",-76.37574,38.32522
"106448",-76.02466,37.41153
"105719",-76.30631,39.16369
"38778",-75.97466,37.77513
"92973",-76.05383,37.22875
"33158",-76.2405,39.2495
"69036",-76.07966,37.41153
"93127",-76.22787,38.13705
"27832",-76.05799,37.58124
"11809",-76.15633,37.4868
"98908",-75.79132,37.90846
"51641",-76.3477,38.0215
"74216",-76.42794,38.55505
"66468",-76.28467,37.5968
"2277",-76.2515,38.88
"44112",-76.05799,37.58124
"384166",-76.28467,37.5968
"92742",-76.598,38.1576
"51253",-76.71195,37.81158
"16558",-76.2151,38.99233
"92966",-75.99937,37.06237
"397223",-76.49402,38.55728
"105216",-76.15633,37.4868
"80448",-76.20799,37.23653
"72792",-76.03494,36.94737
"62281",-76.2405,39.2495
"117760",-75.98966,37.68346
"74213",-76.39121,38.55624
"16574",-76.40131,38.64498
"56083",-76.15966,37.41153
"33349",-76.61592,37.75925
"416716",-76.16216,37.58847
"20565",-76.598,38.1576
"100575",-76.35967,38.99596
"37488",-76.02048,36.9957
"74613",-76.3477,38.0215
"56091",-75.79132,37.90846
"48850",-76.22787,38.13705
"397726",-75.92423,37.98139
"420308",-76.01033,38.28093
"49012",-75.92423,37.98139
"389759",-75.84438,37.79652
"80456",-75.97466,37.77513
"55725",-76.12521,37.11681
"106489",-76.37144,38.81809
"39302",-76.18967,37.6918
"38853",-76.30631,39.16369
"48795",-76.03494,36.94737
"55886",-76.42127,38.64618
"65831",-76.05383,37.22875
"54141",-75.99937,37.06237
"39756",-76.39275,36.95486
"3242",-76.2151,38.99233
"112288",-76.3477,38.0215
"119056",-76.3477,38.0215
"38418",-76.16216,37.58847
"69713",-76.34517,39.00412
"131127",-76.28467,37.5968
"56090",-75.97466,37.77513
"68409",-76.373,37.17681
"11791",-76.22787,38.13705
"55910",-76.39945,38.82593
"72450",-76.38634,37.24181
"33160",-76.17579,39.34873
"67052",-76.02048,36.9957
"11812",-76.16216,37.58847
"55470",-76.49402,38.55728
"44333",-76.15966,37.41153
"55916",-76.35967,38.99596
"394115",-76.17466,37.80013
"396657",-76.42127,38.64618
"37881",-76.42127,38.64618
"390897",-76.02048,36.9957
"28752",-77.2691,38.4035
"420785",-76.28467,37.5968
"30410",-76.40131,38.64498
"93154",-76.30408,38.52609
"7128",-76.49402,38.55728
"50178",-76.38634,37.24181
"72818",-76.02466,37.41153
"393989",-76.20799,37.23653
"98906",-75.97466,37.77513
"51660",-76.22787,38.13705
"74633",-76.28467,37.5968
"67333",-76.47544,36.99044
"50252",-76.37574,38.32522
"397171",-76.39121,38.55624
"394411",-76.64833,37.20297
"51032",-76.39945,38.82593
"30116",-76.2515,38.88
"390914",-75.84438,37.79652
"57266",-76.29467,37.81347
"394407",-76.43094,37.23392
"131064",-76.02599,39.44149
"396733",-76.29215,38.3187
"397091",-76.34565,38.41457
"394583",-76.71195,37.81158
"62115",-76.34634,37.31181
"74632",-76.16216,37.58847
"117754",-75.84438,37.79652
"40788",-76.05799,37.58124
"74203",-76.30661,37.53069
"393799",-76.02048,36.9957
"422296",-75.80148,37.91455
"30174",-75.80148,37.91455
"86822",-76.29215,38.3187
"11772",-76.02048,36.9957
"397488",-76.01033,38.28093
"75144",-75.80148,37.91455
"23871",-75.97466,37.77513
"74286",-76.34634,37.31181
"62272",-76.30661,37.53069
"419970",-76.22787,38.13705
"72647",-76.43094,37.23392
"112340",-76.46272,38.81498
"117877",-76.39275,36.95486
"112569",-76.16216,37.58847
"7121",-76.39121,38.55624
"393765",-76.15966,37.41153
"39274",-76.30408,38.52609
"43209",-76.16216,37.58847
"72443",-76.20799,37.23653
"99857",-76.05799,37.58124
"394815",-76.71195,37.81158
"118607",-76.34565,38.41457
"30163",-76.02599,39.44149
"57255",-76.16216,37.58847
"38782",-75.79132,37.90846
"56018",-76.17579,39.34873
"61699",-76.20799,37.23653
"33934",-76.05799,37.58124
"49720",-76.42794,38.55505
"43623",-75.92423,37.98139
"66467",-76.30661,37.53069
"55864",-76.39121,38.55624
"51251",-76.61592,37.75925
"51230",-76.18967,37.6918
"117761",-76.05799,37.58124
"112325",-76.42127,38.64618
"51324",-76.43094,37.23392
"66685",-76.16772,36.99542
"35236",-76.18967,37.6918
"74629",-76.15966,37.41153
"38135",-76.03494,36.94737
"63016",-75.98966,37.68346
"3260",-76.07966,37.41153
"56989",-76.02599,39.44149
"74246",-75.97466,37.77513
"81236",-76.22787,38.13705
"72683",-76.61592,37.75925
"51282",-76.34634,37.31181
"2833",-76.34565,38.41457
"2278",-76.30408,38.52609
"130936",-76.39121,38.55624
"111731",-76.30631,39.16369
"390879",-75.98966,37.68346
"106386",-75.97466,37.77513
"74637",-76.18967,37.6918
"37529",-76.28467,37.5968
"100311",-76.07966,37.41153
"2897",-76.38634,37.24181
"49740",-76.17579,39.34873
"397208",-76.02599,39.44149
"54339",-76.17137,37.91011
"30121",-76.2151,38.99233
"420774",-76.02048,36.9957
"132260",-76.17137,37.91011
"38422",-76.15633,37.4868
"69003",-76.17137,37.91011
"72806",-75.99937,37.06237
"93503",-76.37574,38.32522
"20783",-75.98966,37.68346
"45388",-75.97466,37.77513
"414599",-75.97321,38.19685
"93600",-76.39945,38.82593
"48514",-75.98966,37.68346
"51718",-76.2405,39.2495
"106275",-75.84438,37.79652
"105709",-76.37144,38.81809
"100308",-76.39945,38.82593
"81467",-76.15966,37.41153
"16223",-76.18967,37.6918
"3225",-75.97466,37.77513
"44073",-75.97466,37.77513
"106493",-75.84438,37.79652
"393965",-76.02048,36.9957
"118985",-76.03494,36.94737
"112339",-76.02466,37.41153
"15990",-75.92423,37.98139
"44620",-76.15633,37.4868
"87278",-76.39945,38.82593
"25527",-76.17466,37.80013
"56807",-76.44486,37.63189
"74259",-76.39945,38.82593
"391309",-76.05383,37.22875
"416728",-76.07966,37.41153
"81882",-76.37574,38.32522
"111795",-75.97466,37.77513
"396645",-76.35967,38.99596
"74610",-76.16772,36.99542
"87606",-76.02466,37.41153
"51255",-76.30661,37.53069
"35194",-76.02048,36.9957
"74957",-76.49402,38.55728
"61697",-76.17466,37.80013
"23665",-76.3477,38.0215
"66037",-76.07966,37.41153
"132303",-76.30661,37.53069
"99580",-76.02599,39.44149
"48845",-76.3477,38.0215
"414537",-76.30631,39.16369
"393056",-75.84438,37.79652
"56956",-76.46272,38.81498
"384108",-76.02466,37.41153
"111912",-76.17137,37.91011
"398713",-76.598,38.1576
"46132",-76.28467,37.5968
"100320",-76.05799,37.58124
"393859",-76.15966,37.41153
"51375",-77.2051,38.3525
"38142",-76.20799,37.23653
"420932",-76.02048,36.9957
"11873",-76.17579,39.34873
"132299",-76.34565,38.41457
"72822",-76.15966,37.41153
"390890",-76.02466,37.41153
"15870",-76.20799,37.23653
"63145",-76.59306,37.056
"119063",-76.05383,37.22875
"20586",-76.30661,37.53069
"92865",-75.92423,37.98139
"394053",-75.98966,37.68346
"54382",-76.15633,37.4868
"93147",-77.2654,38.5301
"384086",-76.17466,37.80013
"393946",-76.38634,37.24181
"24507",-76.02048,36.9957
"93836",-76.42127,38.64618
"27818",-75.84438,37.79652
"33556",-76.16216,37.58847
"68389",-75.97321,38.19685
"37499",-75.99937,37.06237
"100492",-75.99937,37.06237
"398469",-75.92423,37.98139
"49743",-76.02599,39.44149
"131071",-76.01033,38.28093
"45764",-76.47544,36.99044
"420800",-76.17466,37.80013
"35203",-75.99937,37.06237
"105217",-76.16216,37.58847
"132283",-76.598,38.1576
"393902",-76.17466,37.80013
"412905",-76.05799,37.58124
"37853",-76.28467,37.5968
"51301",-76.17579,39.34873
"67823",-76.598,38.1576
"124126",-75.84438,37.79652
"69033",-76.02466,37.41153
"412903",-75.97466,37.77513
"63019",-75.84438,37.79652
"393968",-75.79132,37.90846
"80308",-76.373,37.17681
"74679",-75.97466,37.77513
"93852",-76.30408,38.52609
"393934",-75.79132,37.90846
"45631",-76.29215,38.3187
"44883",-76.34565,38.41457
"39287",-75.79132,37.90846
"111699",-76.02048,36.9957
"12525",-75.97466,37.77513
"105657",-76.598,38.1576
"132188",-76.03494,36.94737
"44847",-76.03494,36.94737
"106740",-76.03494,36.94737
"390882",-75.97466,37.77513
"131138",-76.15966,37.41153
"81025",-76.3477,38.0215
"16258",-75.79132,37.90846
"20615",-76.07966,37.41153
"398578",-75.92423,37.98139
"30131",-76.34565,38.41457
"3193",-76.15633,37.4868
"56936",-76.42127,38.64618
"34217",-76.43094,37.23392
"86780",-76.3477,38.0215
"416742",-76.30661,37.53069
"87617",-76.15633,37.4868
"100294",-76.05383,37.22875
"48844",-76.12521,37.11681
"67564",-76.78219,37.20294
"30416",-76.37144,38.81809
"71941",-75.92423,37.98139
"67337",-76.34634,37.31181
"7617",-76.39945,38.82593
"393147",-75.92423,37.98139
"131063",-75.92423,37.98139
"397062",-76.17579,39.34873
"37803",-76.03494,36.94737
"37898",-75.98966,37.68346
"75717",-76.02048,36.9957
"34513",-76.16772,36.99542
"55620",-76.30631,39.16369
"75707",-76.16772,36.99542
"25009",-76.2515,38.88
"87702",-75.97321,38.19685
"74274",-76.34517,39.00412
"24420",-76.3477,38.0215
"113174",-76.28467,37.5968
"118587",-76.16772,36.99542
"19547",-76.28467,37.5968
"28486",-76.18967,37.6918
"81464",-76.15633,37.4868
"66464",-76.34634,37.31181
"56806",-75.97466,37.77513
"396882",-76.22787,38.13705
"395403",-76.55047,37.66914
"40731",-76.01033,38.28093
"39305",-76.30661,37.53069
"394044",-76.15633,37.4868
"56089",-75.98966,37.68346
"69042",-76.28467,37.5968
"73311",-76.17137,37.91011
"38413",-76.17466,37.80013
"7159",-76.34517,39.00412
"393930",-76.16772,36.99542
"3196",-76.05799,37.58124
"81260",-76.39121,38.55624
"81225",-76.07966,37.41153
"132296",-76.29215,38.3187
"74624",-76.598,38.1576
"131782",-76.02048,36.9957
"30662",-75.99937,37.06237
"69707",-76.40131,38.64498
"94024",-76.29215,38.3187
"68724",-76.01033,38.28093
"384102",-75.97466,37.77513
"399754",-75.97321,38.19685
"75745",-76.20799,37.23653
"61728",-76.07966,37.41153
"6675",-76.598,38.1576
"74269",-76.01033,38.28093
"56087",-76.05799,37.58124
"27814",-76.22787,38.13705
"394061",-76.07966,37.41153
"35259",-75.80148,37.91455
"93737",-76.43094,37.23392
"24532",-76.15633,37.4868
"394208",-76.38634,37.24181
"44057",-76.18967,37.6918
"112337",-76.39945,38.82593
"414600",-75.92423,37.98139
"396905",-76.39945,38.82593
"16230",-76.29467,37.81347
"396759",-76.40131,38.64498
"49008",-75.80148,37.91455
"38416",-76.18967,37.6918
"56951",-76.39945,38.82593
"420916",-76.07966,37.41153
"396971",-76.17137,37.91011
"131383",-76.34517,39.00412
"69692",-76.39121,38.55624
"93839",-76.39945,38.82593
"396722",-76.3477,38.0215
"394043",-76.15633,37.4868
"420920",-76.02466,37.41153
"6793",-76.39275,36.95486
"399753",-76.01033,38.28093
"412918",-75.79132,37.90846
"24410",-76.17137,37.91011
"99574",-76.01033,38.28093
"51505",-76.39945,38.82593
"39278",-75.98966,37.68346
"397217",-76.46272,38.81498
"86806",-75.99937,37.06237
"106503",-76.20799,37.23653
"28540",-76.05799,37.58124
"4200",-76.15966,37.41153
"113178",-76.30661,37.53069
"11034",-76.30631,39.16369
"15498",-76.71195,37.81158
"67821",-76.02048,36.9957
"113142",-76.17466,37.80013
"74044",-75.98966,37.68346
"23456",-76.30631,39.16369
"126021",-76.34565,38.41457
"124880",-76.20799,37.23653
"119585",-76.373,37.17681
"37527",-76.07966,37.41153
"393897",-76.38634,37.24181
"80453",-76.05799,37.58124
"72193",-76.2515,38.88
"393960",-76.05799,37.58124
"25578",-76.34517,39.00412
