"","averaged: correlation-coefficient","averaged: root-mean-square-error","averaged: mean-absolute-error","averaged: mean-absolute-percentage-error (needs to x100)","averaged: mean-error","correlation coefficient: trial 1","correlation coefficient: trial 2","correlation coefficient: trial 3","correlation coefficient: trial 4","correlation coefficient: trial 5","correlation coefficient: trial 6","correlation coefficient: trial 7","correlation coefficient: trial 8","correlation coefficient: trial 9","correlation coefficient: trial 10","root-mean-square-error (RMSE): trial 1","root-mean-square-error (RMSE): trial 2","root-mean-square-error (RMSE): trial 3","root-mean-square-error (RMSE): trial 4","root-mean-square-error (RMSE): trial 5","root-mean-square-error (RMSE): trial 6","root-mean-square-error (RMSE): trial 7","root-mean-square-error (RMSE): trial 8","root-mean-square-error (RMSE): trial 9","root-mean-square-error (RMSE): trial 10","mean-absolute-error (MAE): trial 1","mean-absolute-error (MAE): trial 2","mean-absolute-error (MAE): trial 3","mean-absolute-error (MAE): trial 4","mean-absolute-error (MAE): trial 5","mean-absolute-error (MAE): trial 6","mean-absolute-error (MAE): trial 7","mean-absolute-error (MAE): trial 8","mean-absolute-error (MAE): trial 9","mean-absolute-error (MAE): trial 10","mean-absolute-percentage-error (MAPE, needs to x100): trial 1","mean-absolute-percentage-error (MAPE, needs to x100): trial 2","mean-absolute-percentage-error (MAPE, needs to x100): trial 3","mean-absolute-percentage-error (MAPE, needs to x100): trial 4","mean-absolute-percentage-error (MAPE, needs to x100): trial 5","mean-absolute-percentage-error (MAPE, needs to x100): trial 6","mean-absolute-percentage-error (MAPE, needs to x100): trial 7","mean-absolute-percentage-error (MAPE, needs to x100): trial 8","mean-absolute-percentage-error (MAPE, needs to x100): trial 9","mean-absolute-percentage-error (MAPE, needs to x100): trial 10","mean-error (ME): trial 1","mean-error (ME): trial 2","mean-error (ME): trial 3","mean-error (ME): trial 4","mean-error (ME): trial 5","mean-error (ME): trial 6","mean-error (ME): trial 7","mean-error (ME): trial 8","mean-error (ME): trial 9","mean-error (ME): trial 10"
"Support Vector Regression",0.527594807934476,0.196679839855868,0.141932788862049,0.199092766873195,-0.00179224757746099,0.359772466014122,0.608201783357359,0.498949862415953,0.589945574684704,0.591141260865184,0.522135121519397,0.618271195369712,0.613649202597025,0.60756021654885,0.266321395972455,0.225726452853146,0.173511297207623,0.20963780971346,0.18415280862406,0.173722851714671,0.202553281992422,0.170598657260044,0.170649314281738,0.179112555306517,0.277133369605002,0.148029216399476,0.139006584212278,0.154498444567544,0.138208806530209,0.132060083017747,0.149653034117496,0.128975841672304,0.129025383717424,0.14074882055784,0.159121673828171,0.260238832758727,0.160116210325615,0.210075457135795,0.248015169578611,0.191385328396518,0.206937208500809,0.218292358500123,0.157629805176325,0.196901911768269,0.141335386591159,-0.0021350807248844,-0.00544681569108629,0.0139771339587105,-0.00937244125651669,0.00159733929796046,0.0296777675558137,-0.0403431894537625,-0.0129495771973207,0.00300715647750173,0.0040652312589744
"Relevance Vector Machine",0.506959720874616,0.200700088106015,0.1452957191018,0.209859024659851,0.00302285375974379,0.375302587326775,0.572241979668062,0.502492022318589,0.585128958468751,0.57812263122322,0.519298567695546,0.535640192739401,0.624305790115199,0.508138517787081,0.268925961403534,0.222254817248983,0.181208005281771,0.2103169928587,0.184790527754754,0.175765701698252,0.203448830685324,0.184759208143741,0.167000416232767,0.200374158311977,0.277082222843886,0.151922959873543,0.138395084971509,0.160893046866068,0.138695641809814,0.130568423593003,0.149922365085185,0.139210425780941,0.128764854213545,0.159916099600086,0.154668289224313,0.262075231729167,0.160216382578089,0.213488325130453,0.239066175104925,0.230617657419506,0.217034873824671,0.233269992984478,0.161952723412384,0.243399948088354,0.137468936326485,-0.00289751591183186,0.00360818509646197,0.0301686149615108,-0.00264957618416643,0.000088964587838702,0.0327531012711492,-0.035689405985737,-0.00300540516867832,-0.00533154381431277,0.0131831187452036
"Artifical Neural Network",0.361232669054564,0.254559550265644,0.179499060095446,0.253595908691954,-0.0217178561489393,0.249933121198467,0.367465021017183,0.340965191994303,0.465584539933454,0.311844470564563,0.312599752471024,0.359572610747665,0.587421243560795,0.504231308439963,0.112709430618227,0.254617452641894,0.252962031504929,0.265189808958521,0.261151527766647,0.274832886295722,0.258640721845925,0.234013054206467,0.179541675462186,0.223429141625492,0.341217202348654,0.165510625694262,0.183767776834118,0.189907205372679,0.193851745209117,0.173145856722715,0.189199838751502,0.175811566438802,0.135896540301823,0.180559945941848,0.207339499687589,0.283378303367131,0.215511337773671,0.2482562005036,0.311696141358027,0.276226456584938,0.248831466107904,0.304341006842409,0.175896517409145,0.256411300239023,0.215410356733691,-0.0313638019217066,-0.0202440517518149,-0.0131127925689282,-0.0178108452254644,-0.0462883528021031,-0.00713688084607875,-0.0329004123827841,-0.0137796999853159,-0.0176161818297183,-0.0169255421754783
"Generalized Linear Model",0.456419852753837,0.618510922327791,0.57755256670985,0.625022204198925,0.573635093790243,0.345711158341247,0.567458153975561,0.438864042361453,0.557849393771715,0.530244895316037,0.456026819374351,0.413203801892163,0.547358974810563,0.47664212820816,0.230839159487117,0.619282968039155,0.637536175453698,0.642155371481096,0.605861149278216,0.601316211063509,0.628085892227406,0.578399761020861,0.619432596390523,0.611662555301727,0.641376543021718,0.577586457546764,0.599007324766003,0.596184809370169,0.568998844664401,0.568400237110867,0.584886843006768,0.537328000022229,0.583246472581045,0.568322958191638,0.591563719838614,0.621256914239394,0.621012884792468,0.624126318185633,0.643778923664917,0.631583906125195,0.655371813925538,0.608319003853844,0.626924434760432,0.610300478789158,0.607547363652674,0.571052833644932,0.599007324766003,0.596184809370169,0.564823666070704,0.564804177228242,0.583129263475917,0.53482083556851,0.582871093534477,0.567255692077932,0.572401242165548
"NASA OCM3",0.0515663473622913,0.391799141992119,0.296763158297492,0.450752869827914,-0.141160374047497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
