"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"RVM",11.3906852761394,10.586818674776,10.3529451390596,10.4257352243816,8.19903130230857,8.49260554222073,7.75000621092629,7.36958689991039,7.55766929482274,10.1382904885496,10.9771341634947,10.9384177501151
"SVR",11.1341583581716,10.3013798603809,10.2118234047396,10.0347383699126,8.16018290420141,8.27962852359996,7.9037107880439,7.76121042949984,7.8141195559289,8.82179410995617,9.71962538434648,11.1064682295948
"GLM",2.53717980472351,2.48651334797188,2.44429234902928,2.48572939528105,2.28183203076742,2.25829014452908,2.19697105329523,2.19898413715562,2.22619985589747,2.32515265793256,2.38706884291557,2.49575028037835
"ANN",66395.9828788207,99984.9492476877,32667.4062836491,113559.26825169,10249083.715767,34330.0297506707,32800.7243131138,13407.6414660207,1040523.46714496,533174.214124899,22181.30351154,10819.9097189063
