"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"RVM",6.46660730722585,6.26353988701668,6.34968017670748,6.12075037548706,6.29014829344268,6.49419122150913,6.53162216645022,6.55480565265826,6.5827377058524,6.65050164244073,7.00618893927218,6.73639094404649
"SVR",5.6940775273819,5.3718900281628,5.18884925287727,4.96160944070128,4.77035105830648,4.17800573780073,3.82510320072916,3.68029733774526,4.80030781635583,5.4029442979323,6.13940831315553,5.9142609225831
"GLM",1.84907667795254,1.7710015043241,1.70583159737392,1.66738311729193,1.61860955740478,1.5352291488479,1.47528060265313,1.46886234812525,1.668085059364,1.76642051666878,1.87418636271587,1.85979583642
"ANN",22612.2702566462,56521.8913290461,536941.133612853,333653.307720373,54942.9874741721,221538.073239133,12087.3976388597,309212.698874268,12024611.0521216,14423.8963828011,177449.557371033,1133.23704390555
