"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"RVM",9.13001823907663,8.29157700785868,7.83316057129254,7.1036454126061,7.15229995512721,7.1537121006296,6.86681517845659,6.80249978338583,7.24683571663922,7.89719406958935,8.42838670124793,8.88519913202393
"SVR",8.6662155474631,8.06995719525861,7.70176798994736,7.2870419397628,7.18623669911509,7.15439722086985,6.84063542675747,6.84880741540469,7.43855953959101,7.75282334034613,8.13228905604813,8.63841409184591
"GLM",2.30827995730916,2.22675381429532,2.16916665455311,2.12232438880609,2.09169316561183,2.06494037022291,2.00614636810923,2.02336508275975,2.13801893308469,2.16245946777704,2.21802693345085,2.28105711067533
"ANN",118413.629520171,13043.9962989487,10977.8397379957,68014.7933324686,4283456.74474962,3403.96880337889,204116.803267499,2380.04021379554,56860.1637275643,67537.330111371,24238.3515854595,12941.222681454
