"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"RVM",7.03652939777245,6.36292393011104,5.80727389478311,5.5510593111816,5.45494835361629,6.63669853796061,7.26183497402344,7.25338220438439,6.79956343140571,6.62631582174345,6.22547547419866,6.86549905340343
"SVR",5.33219652071633,4.837259082427,4.1706147310577,3.97087563751641,3.65766444433793,3.13113163112733,2.96723826101913,2.78257051273776,3.85694355938576,4.42476309214612,4.85247941625873,5.25929380119311
"GLM",1.71527228804238,1.62169601787906,1.48099971818739,1.48103857185867,1.43855556837971,1.50262196880093,1.53368043005574,1.53402577545765,1.61610704769653,1.63532965650944,1.57908098337033,1.68530905340655
"ANN",8.98275017253514,7.41714386419886,5.62226338123696,6.47910264155459,9.74344509876227,6.30848610799464,7.43115323593931,8.52258774241292,8.18728999557903,7.31605981108238,7.5004000475554,8.06320596473061
