"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"RVM",8.66163539920963,10.950532619913,9.70810504025309,8.60062352096864,11.0251314890799,10.5551018340117,9.86180674560557,9.59901844050948,8.42764906391862,6.36399620654531,7.3159261349625,7.93519976519413
"SVR",11.0770852729575,11.8219500381642,11.540837359597,10.4311582607698,10.9548814976827,11.6733171282252,12.3698433689878,12.3018322573803,10.7856900028199,9.5505319954145,10.1934541290819,11.0809602956798
"GLM",2.28812725782528,2.68474534891861,2.64582299910586,2.55310324477503,2.70185324220945,2.69011312364271,2.63682640667183,2.65127994820577,2.46309973215885,2.14578340872115,2.06107844824239,2.0982881477049
"ANN",21.7198024785223,37.0138419461886,28.6930310537072,65.5643458976016,21.8255812174282,26.9652218427593,95.3902806489213,34.5300654053117,92.0969206631667,175.76200541969,86.3000807165879,45.8073553417496
