"","x","y","metrics"
"1",300,800,1.86572356671775
"2",350,800,2.01894090578637
"3",400,800,2.10382144232165
"4",450,800,2.00044956308144
"5",500,800,1.7533267406434
"6",550,800,1.73305831811922
"7",600,800,1.87227716605142
"8",650,800,1.96174694251913
"9",700,800,1.95171855198562
"10",750,800,1.92166710320338
"11",800,800,1.95365477712108
"12",300,850,1.8727799111528
"13",350,850,2.02163286802321
"14",400,850,2.0913445506952
"15",450,850,1.99588696413966
"16",500,850,1.74832243934058
"17",550,850,1.72641772154929
"18",600,850,1.87063486003621
"19",650,850,1.95549449719023
"20",700,850,1.94846742910656
"21",750,850,1.91842000586496
"22",800,850,1.94246484751282
"23",300,900,1.8727799111528
"24",350,900,2.00691917180838
"25",400,900,2.07208203654447
"26",450,900,1.98176627795345
"27",500,900,1.7407372584771
"28",550,900,1.72375825356335
"29",600,900,1.85909846444426
"30",650,900,1.94742693489391
"31",700,900,1.94032653559274
"32",750,900,1.903341226343
"33",800,900,1.92625008116699
"34",300,950,1.82007969958937
"35",350,950,1.96045199058711
"36",400,950,2.0364593941778
"37",450,950,1.9558061067777
"38",500,950,1.7296534190518
"39",550,950,1.72110867931544
"40",600,950,1.8537160278065
"41",650,950,1.93824134558129
"42",700,950,1.93170246735198
"43",750,950,1.89489077824113
"44",800,950,1.91945186485666
"45",300,1000,1.84238136123752
"46",350,1000,1.97845867743975
"47",400,1000,2.0548570876312
"48",450,1000,1.96966856030885
"49",500,1000,1.736722687678
"50",550,1000,1.73854722269472
"51",600,1000,1.8707049119437
"52",650,1000,1.95669379306401
"53",700,1000,1.94715854723525
"54",750,1000,1.90905790710881
"55",800,1000,1.93273574315441
"56",300,1050,1.85737844247814
"57",350,1050,1.98007629451065
"58",400,1050,2.05277388521972
"59",450,1050,1.99728615862414
"60",500,1050,1.75848209212577
"61",550,1050,1.7559853266993
"62",600,1050,1.88294901737028
"63",650,1050,1.96860361446044
"64",700,1050,1.95787940451673
"65",750,1050,1.92199395217044
"66",800,1050,1.94314157953287
"67",300,1100,1.92109806676834
"68",350,1100,2.02956473222321
"69",400,1100,2.10885233695633
"70",450,1100,2.03944791608062
"71",500,1100,1.78258044280015
"72",550,1100,1.78362204049479
"73",600,1100,1.90928473024642
"74",650,1100,1.99935869567493
"75",700,1100,1.986561746322
"76",750,1100,1.94832982679442
"77",800,1100,1.96859920020594
"78",300,1150,1.8939950346867
"79",350,1150,2.01049036089991
"80",400,1150,2.0934066271493
"81",450,1150,2.02807265288592
"82",500,1150,1.76537733411165
"83",550,1150,1.76959033385936
"84",600,1150,1.89327975758285
"85",650,1150,1.98434386613675
"86",700,1150,1.97241287793386
"87",750,1150,1.93514662130037
"88",800,1150,1.95932999751409
"89",300,1200,1.9004536926291
"90",350,1200,2.00851607307224
"91",400,1200,2.09175663177316
"92",450,1200,1.99925776974619
"93",500,1200,1.73970488771696
"94",550,1200,1.74815680202804
"95",600,1200,1.87518621905642
"96",650,1200,1.96938948985491
"97",700,1200,1.95013267215793
"98",750,1200,1.91721092655568
"99",800,1200,1.94170219002757
