"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"RVM",9.64174441521606,10.1839486537261,9.40285484316731,8.47965687985807,9.12503516960105,8.6637258412104,8.70067919396752,8.34823130593019,7.9266249438115,6.73915695249804,7.61078237477352,8.93377626976681
"SVR",9.3130098075161,9.28994130835538,8.669450915639,8.56145229981919,9.02614564957521,8.58939997478413,8.62022373236219,8.55391338485295,8.23012794813607,7.36424227991371,8.17118678750599,9.26592285759476
"GLM",2.28847947693669,2.35922064697345,2.29021339790633,2.28921230460069,2.32301570884087,2.21420848791299,2.19039894090004,2.21315384735801,2.18157823248177,1.99163106865069,2.02594043798883,2.15555998641905
"ANN",44.5466570796531,37.9857316169232,17.4075203068022,21.1205045529992,10.2312953247679,10.442479867974,12.4713467240938,9.12866667488272,26.797258029073,19.2898579303864,73.0134574227821,74.4747172867232
